id,category,subCategory,images
5ff0b509fc13ae631b000000,Gears,Shirt,assets/shop/clothing.jpg
5ff0b509fc13ae631b000001,Gears,T-Shirt,assets/shop/clothing.jpg
5ff0b509fc13ae631b000002,Gears,Zens,assets/shop/clothing.jpg
5ff0b509fc13ae631b000003,Engine Parts,Watches,assets/shop/accessories.png
5ff0b509fc13ae631b000004,Engine Parts,Bags,assets/shop/accessories.png
5ff0b509fc13ae631b000005,Engine Parts,Wallets,assets/shop/accessories.png
5ff0b509fc13ae631b000006,Engine Parts,Sunglasses,assets/shop/accessories.png
5ff0b509fc13ae631b000007,Electronics,Mobile cover,assets/shop/mobilephones.jpg
5ff0b509fc13ae631b000008,Electronics,Power banks,assets/shop/mobilises.jpg
5ff0b509fc13ae631b000009,Electronics,Tablets,assets/shop/mobilises.jpg
5ff0b509fc13ae631b00000a,Electronics,Mobile accessories,assets/shop/mobilephones.jpg
5ff0b509fc13ae631b00000b,Tyres,Sports shoes,assets/shop/shoes.jpg
5ff0b509fc13ae631b00000c,Tyres,Formal shoes,assets/shop/shoes.jpg
5ff0b509fc13ae631b00000d,Tyres,Casual shoes,assets/shop/shoes.jpg
